reaction_type_index,reaction_type,reaction_indices
1,CC[#1]>>C[#1].C,"[8, 103, 107, 181, 223, 267, 285, 467, 573, 595, 608, 609, 645, 650, 655, 660, 718, 768, 824, 847, 853, 854, 885, 948, 957, 1021, 1143, 1156, 1288, 1304, 1485, 1486, 1487, 1506, 1511, 1516, 1517, 1518, 1519, 1531, 1533, 1538, 1547, 1658, 1703, 1704, 1743, 1746, 1748, 1779, 2002, 2021, 2080, 2139, 2144, 2208, 2219, 2232, 2258, 2296, 2365, 2367, 2369, 2405, 2425, 2506, 2565, 2569, 2577, 2582, 2592, 2703, 2715, 2766, 2773, 2867, 2888, 2889, 2891, 2893, 2895, 2898, 3090, 3092, 3093, 3100, 3158, 3171, 3173, 3190, 3265, 3293, 3307, 3334, 3352, 3353, 3391, 3410, 3413, 3451, 3452, 3529, 3535, 3539, 3541, 3548, 3583, 3587, 3606, 3618, 3655, 3753, 3757, 3760, 3761, 3798, 3808, 3848, 3869, 3971, 3972, 4124, 4130, 4194, 4282, 4309, 4317, 4372, 4387, 4419, 4432, 4450, 4480, 4482, 4591, 4658, 4662, 4663, 4724, 4733, 4811, 5029, 5031, 5043, 5174, 5187, 5190, 5212, 5251, 5254, 5258, 5304, 5315, 5486, 5537, 5639, 5774, 5795, 5801, 5979, 5990, 6016, 6054, 6057, 6159, 6180, 6185, 6186, 6200, 6210, 6213, 6254, 6370, 6407, 6431, 6438, 6443, 6483, 6510, 6711, 6721, 6723, 6729, 6822, 6823, 6834, 6888, 6896, 7006, 7032, 7035, 7044, 7050, 7089, 7116, 7120, 7142, 7214, 7291, 7365, 7382, 7410, 7428, 7432, 7433, 7436, 7438, 7439, 7440, 7499, 7559, 7573, 7576, 7586, 7610, 7626, 7629, 7632, 7636, 7676, 7689, 7707, 7709, 7714, 7730, 7746, 7883, 7968, 7992, 8013, 8038, 8048, 8139, 8141, 8143, 8151, 8162, 8166, 8176, 8178, 8180, 8249, 8290, 8296, 8403, 8407, 8433, 8440, 8450, 8458, 8461, 8485, 8492, 8506, 8599, 8608, 8622, 8766, 8768, 8786, 8842, 8947, 9014, 9019, 9200, 9263, 9266, 9273, 9353, 9422, 9429, 9548, 9554, 9555, 9559, 9562, 9566, 9567, 9568, 9576, 9591, 9595, 9626, 9646, 9656, 9661, 9704, 9705, 9706, 9825, 9844, 9845, 9852, 9857, 9868, 9924, 9994, 10054, 10065, 10101, 10117, 10118, 10165, 10185, 10190, 10193, 10316, 10332, 10376, 10385, 10396, 10403, 10473, 10582, 10654, 10658, 10660, 10746, 10764, 10796, 10799, 10815, 10820, 10821, 10838, 10880, 10890, 10892, 10893, 10896, 11015, 11033, 11039, 11045, 11055, 11058, 11064, 11102, 11124, 11129, 11159, 11161, 11168, 11216, 11222, 11231, 11234, 11260, 11319, 11374, 11378, 11426, 11516, 11530, 11535, 11537, 11553, 11554, 11606, 11634, 11743, 11745, 11812, 11867, 11919]"
2,C(C)[#1]>>C.C[#1],"[11, 93, 100, 108, 451, 456, 473, 499, 536, 562, 563, 567, 613, 625, 642, 643, 644, 647, 661, 752, 767, 816, 845, 846, 855, 890, 927, 935, 939, 946, 996, 998, 1033, 1105, 1141, 1312, 1484, 1503, 1505, 1507, 1522, 1536, 1681, 1706, 1719, 1729, 1741, 1784, 1810, 1811, 1916, 1924, 1980, 2001, 2022, 2134, 2145, 2229, 2325, 2360, 2370, 2410, 2414, 2417, 2428, 2456, 2566, 2583, 2620, 2697, 2704, 2705, 2711, 2737, 2748, 2772, 2853, 2883, 2884, 2890, 2897, 2899, 2996, 3019, 3046, 3058, 3108, 3131, 3296, 3342, 3343, 3356, 3408, 3409, 3411, 3447, 3471, 3500, 3526, 3537, 3591, 3630, 3640, 3649, 3693, 3694, 3736, 3756, 3799, 3804, 3805, 3809, 3834, 3866, 3867, 3970, 4016, 4019, 4075, 4077, 4183, 4199, 4231, 4232, 4248, 4250, 4253, 4290, 4310, 4314, 4315, 4484, 4485, 4512, 4516, 4520, 4670, 4674, 4735, 4797, 4806, 4828, 4834, 4843, 4997, 5006, 5012, 5027, 5030, 5134, 5185, 5249, 5252, 5253, 5256, 5318, 5353, 5360, 5517, 5528, 5573, 5579, 5603, 5625, 5626, 5648, 5769, 5770, 5772, 5800, 5814, 5849, 5947, 5986, 5988, 6013, 6015, 6088, 6139, 6140, 6161, 6174, 6189, 6246, 6250, 6262, 6367, 6437, 6444, 6509, 6525, 6528, 6558, 6643, 6709, 6713, 6890, 6901, 7125, 7129, 7220, 7221, 7388, 7392, 7429, 7431, 7435, 7441, 7444, 7445, 7509, 7544, 7566, 7567, 7580, 7606, 7635, 7639, 7717, 7743, 7748, 7784, 7812, 8029, 8034, 8091, 8146, 8147, 8154, 8157, 8210, 8246, 8289, 8300, 8389, 8434, 8439, 8449, 8451, 8457, 8494, 8501, 8601, 8611, 8616, 8621, 8762, 8861, 8934, 9017, 9057, 9351, 9398, 9418, 9431, 9465, 9474, 9528, 9552, 9557, 9558, 9579, 9586, 9597, 9606, 9608, 9647, 9691, 9703, 9710, 9778, 9780, 9861, 9875, 9882, 9935, 9990, 10055, 10060, 10105, 10110, 10157, 10312, 10330, 10401, 10615, 10616, 10759, 10875, 10888, 10889, 10891, 10897, 10973, 11041, 11062, 11105, 11107, 11109, 11111, 11126, 11135, 11156, 11160, 11164, 11194, 11228, 11247, 11421, 11460, 11492, 11529, 11536, 11541, 11544, 11550, 11590, 11614, 11629, 11666, 11679, 11681, 11729, 11811, 11859, 11905, 11913, 11916, 11929]"
3,C[#1].O>>C.O[#1],"[77, 141, 144, 170, 208, 301, 502, 530, 533, 624, 675, 676, 706, 721, 726, 744, 781, 983, 1050, 1056, 1128, 1147, 1162, 1164, 1176, 1197, 1219, 1321, 1336, 1377, 1387, 1388, 1402, 1417, 1440, 1456, 1498, 1614, 1615, 1639, 1823, 1899, 1972, 1987, 2006, 2029, 2077, 2160, 2184, 2203, 2204, 2281, 2336, 2364, 2464, 2544, 2627, 2630, 2665, 2675, 2689, 2760, 2801, 2806, 2874, 2881, 2908, 3023, 3068, 3148, 3153, 3161, 3195, 3305, 3323, 3348, 3370, 3424, 3440, 3499, 3522, 3646, 3651, 3703, 3718, 3860, 3863, 3892, 3982, 4131, 4292, 4359, 4396, 4414, 4467, 4505, 4547, 4561, 4643, 4669, 4671, 4707, 4758, 4761, 4778, 4794, 4805, 4852, 4869, 4874, 4912, 4929, 4930, 4951, 5075, 5150, 5196, 5336, 5349, 5356, 5491, 5732, 5873, 5891, 5918, 5939, 5973, 5998, 6070, 6089, 6263, 6396, 6447, 6641, 6798, 6865, 6873, 7085, 7086, 7224, 7287, 7347, 7507, 7804, 7831, 7871, 8099, 8117, 8232, 8245, 8378, 8491, 8514, 8533, 8631, 8686, 8719, 8722, 8758, 8785, 8792, 8800, 8891, 8898, 8937, 8951, 9063, 9068, 9091, 9093, 9119, 9248, 9258, 9289, 9303, 9305, 9372, 9379, 9392, 9689, 9748, 9772, 9945, 10075, 10098, 10173, 10209, 10433, 10435, 10512, 10553, 10617, 10626, 10639, 10698, 10716, 10732, 10756, 11251, 11265, 11362, 11419, 11477, 11489, 11631]"
4,C(CO)[#1]>>C=C.O[#1],"[6, 178, 273, 287, 345, 397, 516, 537, 575, 717, 734, 751, 873, 1136, 1158, 1247, 1277, 1281, 1291, 1324, 1392, 1430, 1458, 1568, 1581, 1679, 1699, 1783, 1863, 1869, 1908, 1997, 2024, 2044, 2233, 2362, 2378, 2421, 2555, 2591, 2609, 2631, 2713, 2863, 2958, 2977, 3017, 3025, 3047, 3098, 3217, 3245, 3249, 3269, 3487, 3532, 3538, 3555, 3616, 3622, 3668, 3751, 3975, 4012, 4032, 4079, 4080, 4128, 4166, 4279, 4286, 4358, 4367, 4400, 4420, 4421, 4584, 4685, 4721, 4738, 4844, 4863, 4893, 4932, 4938, 4969, 5025, 5063, 5087, 5172, 5338, 5430, 5443, 5497, 5570, 5610, 5699, 5755, 5840, 5853, 5897, 6106, 6135, 6197, 6221, 6283, 6289, 6294, 6301, 6365, 6542, 6581, 6607, 6651, 6672, 6724, 6738, 6902, 7049, 7077, 7542, 7593, 7701, 7727, 7809, 7836, 8015, 8085, 8292, 8322, 8487, 8500, 8650, 8748, 8922, 8953, 8966, 9040, 9106, 9115, 9172, 9206, 9275, 9311, 9627, 9723, 9738, 9810, 9969, 10057, 10166, 10182, 10311, 10314, 10472, 10793, 10825, 10850, 10863, 10882, 10907, 10911, 10916, 10994, 11005, 11044, 11067, 11101, 11136, 11197, 11233, 11391, 11438, 11440, 11597, 11643, 11654, 11824, 11857, 11861, 11959]"
5,C(C[#1])[#1]>>C=C.[#1][#1],"[31, 34, 70, 179, 184, 220, 305, 480, 503, 520, 617, 742, 947, 976, 1118, 1120, 1157, 1244, 1250, 1346, 1539, 1561, 1700, 1707, 1812, 1975, 2017, 2049, 2131, 2158, 2231, 2249, 2276, 2289, 2717, 2952, 3010, 3011, 3049, 3091, 3187, 3192, 3218, 3222, 3230, 3253, 3256, 3261, 3298, 3300, 3325, 3347, 3448, 3501, 3566, 3571, 3745, 3823, 3825, 3842, 3978, 3985, 4173, 4193, 4228, 4236, 4391, 4481, 4585, 4633, 4739, 4765, 4835, 4841, 4916, 4958, 5021, 5037, 5071, 5095, 5169, 5175, 5210, 5331, 5366, 5411, 5421, 5426, 5514, 5516, 5567, 5572, 5581, 5742, 5804, 5864, 5905, 6098, 6129, 6136, 6203, 6255, 6356, 6456, 6569, 6665, 6792, 6815, 6893, 6904, 7038, 7069, 7091, 7141, 7225, 7406, 7546, 7609, 7703, 7705, 7729, 7780, 8078, 8219, 8323, 8332, 8395, 8405, 8497, 8617, 8793, 8797, 8890, 8957, 9029, 9109, 9432, 9437, 9632, 9650, 9690, 9781, 9806, 9866, 9928, 9933, 10199, 10248, 10310, 10328, 10329, 10397, 10447, 10601, 10629, 10736, 10765, 10803, 10894, 11022, 11042, 11093, 11167, 11202, 11237, 11361, 11433, 11520, 11526, 11555, 11595, 11648, 11677]"
6,CCO>>CO.C,"[135, 498, 558, 749, 776, 929, 932, 1049, 1159, 1279, 1349, 1393, 1460, 1532, 1545, 1584, 1713, 1873, 1886, 2019, 2050, 2136, 2140, 2286, 2568, 2579, 2604, 2752, 2767, 2975, 2997, 3194, 3216, 3239, 3480, 3489, 3540, 3552, 3554, 3599, 3670, 3713, 3752, 3924, 3926, 3973, 4171, 4227, 4278, 4319, 4427, 4727, 4740, 4907, 4940, 4971, 4987, 5094, 5173, 5319, 5404, 5423, 5578, 5580, 5638, 5785, 5796, 5805, 5811, 5898, 6105, 6199, 6214, 6300, 6515, 6580, 6642, 6719, 6725, 7042, 7047, 7061, 7070, 7093, 7358, 7359, 7379, 7400, 7571, 7585, 7592, 7674, 7699, 7807, 7849, 7896, 8011, 8079, 8175, 8298, 8334, 8657, 9107, 9274, 9421, 9640, 9658, 9805, 9826, 9832, 9912, 10053, 10183, 10359, 10655, 10836, 10864, 10865, 10885, 10920, 10961, 10970, 11003, 11092, 11200, 11296, 11380, 11420, 11869, 11898, 11901, 11904]"
7,C(O)[#1]>>C.O[#1],"[142, 206, 261, 295, 308, 347, 495, 569, 714, 901, 936, 990, 1017, 1047, 1122, 1126, 1373, 1462, 1525, 1629, 1646, 1925, 2148, 2278, 2375, 2560, 2563, 2614, 2742, 2759, 2764, 2809, 2978, 3220, 3225, 3331, 3360, 3392, 3531, 3558, 3562, 3581, 3584, 4053, 4172, 4234, 4252, 4284, 4324, 4661, 4888, 4904, 4941, 4945, 4975, 5056, 5085, 5092, 5171, 5294, 5317, 5333, 5407, 5425, 5557, 5565, 5577, 5654, 5697, 5749, 5793, 5813, 5839, 5900, 5907, 6011, 6025, 6096, 6097, 6104, 6194, 6195, 6216, 6384, 6485, 6572, 6614, 6656, 7041, 7082, 7366, 7598, 7671, 7694, 7832, 7854, 7900, 8138, 8179, 8220, 8275, 8301, 8507, 8555, 8654, 8955, 9112, 9215, 9317, 9634, 9643, 9655, 9848, 9865, 9936, 10168, 10384, 10454, 10573, 10782, 11095, 11389, 11497, 11547, 11657, 11900, 11956]"
8,CCC[#1]>>C[#1].C=C,"[74, 671, 735, 829, 953, 1129, 1180, 1300, 1403, 1406, 1431, 1548, 1702, 1809, 1976, 2004, 2079, 2331, 2556, 2562, 2648, 2757, 2797, 2829, 2879, 2974, 3000, 3015, 3151, 3219, 3243, 3288, 3664, 3672, 3833, 3862, 3929, 4020, 4024, 4139, 4200, 4230, 4594, 4672, 4725, 4921, 4957, 5028, 5078, 5096, 5154, 5250, 5260, 5314, 5361, 5533, 5679, 5729, 5953, 5977, 6234, 6251, 6257, 6369, 6439, 6680, 6685, 6817, 6864, 6905, 7037, 7110, 7226, 7351, 7414, 7419, 7725, 7790, 7815, 7817, 7879, 8164, 8177, 8252, 8379, 8443, 8670, 8672, 8798, 8899, 9123, 9645, 9657, 9853, 10116, 10131, 10303, 10363, 10623, 10630, 10666, 10762, 10909, 10918, 11020, 11205, 11263, 11292, 11599, 11798, 11954]"
9,CC#N>>C[N&+]#[C&-],"[53, 62, 130, 213, 250, 257, 338, 379, 490, 581, 745, 1317, 1399, 1461, 1590, 1604, 1712, 1922, 1983, 2054, 2307, 2443, 2475, 2530, 2547, 2599, 2619, 2683, 2723, 2844, 2862, 2868, 2961, 2992, 3055, 3071, 3124, 3167, 3322, 3477, 3547, 3741, 3766, 3821, 3850, 3932, 3934, 4026, 4179, 4241, 4334, 4438, 4458, 4502, 4641, 4773, 4819, 4964, 5048, 5064, 5098, 5226, 5352, 5500, 5691, 5700, 5833, 5843, 5954, 6019, 6173, 6458, 6550, 6563, 6808, 6953, 6970, 7177, 7525, 7532, 7874, 7920, 8041, 8193, 8565, 8836, 9056, 9226, 9312, 9370, 9380, 9747, 9899, 10216, 10530, 10614, 10706, 10827, 10845, 11122, 11242, 11282, 11320, 11376, 11470, 11484, 11816, 11856, 11891]"
10,CCC>>CC.C,"[104, 265, 465, 663, 997, 1101, 1183, 1307, 1481, 1501, 1513, 1527, 1781, 1868, 1917, 2128, 2264, 2573, 2796, 2887, 2971, 3022, 3042, 3097, 3262, 3282, 3385, 3479, 3533, 3597, 3666, 3797, 3819, 4069, 4076, 4078, 4667, 4722, 4728, 4832, 5042, 5248, 5257, 5408, 5509, 5586, 5631, 5640, 5771, 5773, 6170, 6187, 6433, 6435, 6440, 6441, 6505, 6674, 6903, 6911, 6913, 6956, 7043, 7437, 7607, 7641, 7728, 7847, 7966, 8032, 8181, 8370, 8382, 8431, 8441, 8615, 8838, 9026, 9122, 9265, 9344, 9549, 9563, 9580, 9601, 9629, 9727, 10184, 10191, 10319, 10340, 10382, 10653, 10812, 10844, 10857, 10878, 10881, 10999, 11029, 11130, 11166, 11186, 11369, 11392, 11436, 11467, 11525, 11865]"
