reaction_id,original_smiles,reaction_core,reaction_template
0,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],[c:2]1[n:3][o:4][n:5][n:6]1>>[C:2]([N:3]=[O:4])=[N+:6]=[N-:5],c1nonn1>>C(N=O)=[N&+]=[N&-]
1,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],[C:1][c:2]1[n:3][o:4][n:5][n:6]1>>[C:1][N:3]=[C:2]=[N:6][N:5]=[O:4],Cc1nonn1>>CN=C=NN=O
2,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]1([H:6])([H:7])[O:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12].[O:5]([H:8])[H:13],[C:1][H:8].[C:4][O:5]>>[C:1][C:4].[O:5][H:8],C[#1].CO>>CC.O[#1]
3,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,[O:2][C:3].[O:5][H:13]>>[C:3][O:5].[O:2][H:13],OC.O[#1]>>CO.O[#1]
4,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],[O:2][C:3][C:4]([O:5][H:13])[H:11]>>[C:3]([C:4]=[O:5])[H:11].[O:2][H:13],OCC(O[#1])[#1]>>C(C=O)[#1].O[#1]
6,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],[C:3]([C:4][O:5])[H:9]>>[C:3]=[C:4].[O:5][H:9],C(CO)[#1]>>C=C.O[#1]
7,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],[O:1]=[C:2][N:3]=[N+:4]=[N-:5]>>[C:2]#[N:3].[O:1]=[N+:5]=[N-:4],O=CN=[N&+]=[N&-]>>C#N.O=[N&+]=[N&-]
8,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,[C:3][C:4][H:12]>>[C:3][H:12].[C:4],CC[#1]>>C[#1].C
9,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],[C:1]1[C:2][C:3][C:4]1>>[C:1]=[C:4].[C:2]=[C:3],C1CCC1>>C=C.C=C
10,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C@:3]2([H:10])[C:2]([H:9])=[C:6]([H:15])[C:5]([H:13])([H:14])[C@:4]12[H:12].[H:11][H:16],[C:1][C:2]([C:3][H:11])[C:6][H:16]>>[C:1][C:3][C:2]=[C:6].[H:11][H:16],CC(C[#1])C[#1]>>CCC=C.[#1][#1]
11,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],[C:2]([C:6])[H:9]>>[C:2].[C:6][H:9],C(C)[#1]>>C.C[#1]
12,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],[c:2](=[n:3])[n:6][H:9]>>[c:2]([n:3][H:9])[n:6],c(=n)n[#1]>>c(n[#1])n
13,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],[c:2]1[n:6][n:5][c:4][n:3]=1>>[C:2]1=[N+:5]([N-:6])[C:4]=[N:3]1,c1nncn=1>>C1=[N&+]([N&-])C=N1
14,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],[c:2]1[n:6]([H:9])[n:5][c:4][n:3]=1>>[C:2]1([H:9])[N:3]=[C:4][N:5]=[N:6]1,c1n([#1])ncn=1>>C1([#1])N=CN=N1
15,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],[c:2](=[n:3])[n:6]([n:5])[H:9]>>[c:2]([n:3])[n:6][n:5][H:9],c(=n)n(n)[#1]>>c(n)nn[#1]
16,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],[c:2]1[n:6][n:5][c:4]([H:8])[n:3]=1>>[C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6],c1nnc([#1])n=1>>C(N=C=N[#1])=N
17,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],[O:1]([c:2]=[n:3])[H:7]>>[O:1]=[c:2][n:3][H:7],O(c=n)[#1]>>O=cn[#1]
18,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],[c:2]1[n:6][n:5][c:4][n:3]=1>>[C:2]1=[N:3][C:4]1[N:5]=[N:6],c1nncn=1>>C1=NC1N=N
19,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],[c:2]1[n:6][n:5][c:4][n:3]=1>>[C:2]([N+:3]#[C:4])[N:6][N-:5],c1nncn=1>>C([N&+]#C)N[N&-]
20,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],[c:2]1[n:6][n:5][c:4][n:3]=1>>[C:2]#[N:3].[C:4]#[N+:5][N-:6],c1nncn=1>>C#N.C#[N&+][N&-]
22,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],[c:2]1[n:6][n:5][c:4][n:3]=1>>[C:2]([N:3]1[C:4]=[N:5]1)=[N:6],c1nncn=1>>C(N1C=N1)=N
23,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],[O:1][C:2][C:6][H:15]>>[C:2]=[C:6].[O:1][H:15],OCC[#1]>>C=C.O[#1]
24,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:5](=[C:6]([H:15])[H:16])([H:13])[H:14].[O:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])[H:7],[C:2]1[C:3]([H:9])[C:4][C:5][C:6]1>>[C:2]([C:3]=[C:4])[H:9].[C:5]=[C:6],C1C([#1])CCC1>>C(C=C)[#1].C=C
