[2025-04-11 10:39:53,832::train::INFO] Namespace(config='./configs/train_config_v2.yml', split_file='data/RDB7/splits/rxn_core_split.pkl', device='cuda', resume_iter=None, logdir='./logs/trained_rdb7/', pretrain='', project='tsdiff-rdb7', name='goflow-train-split-rxn_core_split', tag='goflow-train-split-rxn_core_split', fn=None)
[2025-04-11 10:39:53,833::train::INFO] {'model': {'type': 'diffusion', 'network': 'condensenc_rtsp', 'output_mode': 'ts', 't0': 0, 't1': 5000, 'edge_cutoff': 10.0, 'edge_order': 4, 'pred_edge_order': 3, 'encoder': {'name': 'schnet', 'edge_emb': False, 'num_convs': 7, 'cutoff': 10.0, 'smooth_conv': False, 'mlp_act': 'swish', 'hidden_dim': 256}, 'feat_dim': 27, 'hidden_dim': 256, 'edge_encoder': 'mlp', 'loss_energy_weight': 0.4, 'mlp_act': 'swish', 'edge_cat_act': 'swish', 'beta_schedule': 'sigmoid', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000}, 'train': {'seed': 1, 'batch_size': 128, 'val_freq': 200, 'log_freq': 200, 'max_iters': 40000, 'max_grad_norm': 3000.0, 'anneal_power': 2.0, 'optimizer': {'type': 'adam', 'lr': 0.0005, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.8, 'patience': 10, 'min_lr': 0.000125}}, 'dataset': {'data': 'data/RDB7/processed_data/data.pkl'}}
[2025-04-11 10:39:54,928::train::INFO] Loading datasets...
[2025-04-11 10:40:22,346::train::INFO] Building model...
[2025-04-11 10:40:22,486::train::INFO] Total number of learnable parameters: 2770819
[2025-04-11 10:40:23,455::train::INFO] [Train] Iter 00001 | Loss 627.34 | Grad 3.46 | LR 0.000500
[2025-04-11 10:40:24,397::train::INFO] [Validate] Iter 00001 | Loss 558.998393 
[2025-04-11 10:41:06,014::train::INFO] [Train] Iter 00201 | Loss 157.28 | Grad 847.00 | LR 0.000500
[2025-04-11 10:41:06,767::train::INFO] [Validate] Iter 00201 | Loss 112.241478 
[2025-04-11 10:41:31,911::train::INFO] [Train] Iter 00401 | Loss 97.65 | Grad 636.86 | LR 0.000500
[2025-04-11 10:41:32,492::train::INFO] [Validate] Iter 00401 | Loss 84.794340 
[2025-04-11 10:41:54,990::train::INFO] [Train] Iter 00601 | Loss 81.75 | Grad 569.01 | LR 0.000500
[2025-04-11 10:41:55,568::train::INFO] [Validate] Iter 00601 | Loss 84.455174 
[2025-04-11 10:42:10,822::train::INFO] [Train] Iter 00801 | Loss 76.35 | Grad 576.58 | LR 0.000500
[2025-04-11 10:42:11,400::train::INFO] [Validate] Iter 00801 | Loss 69.378938 
[2025-04-11 10:42:26,145::train::INFO] [Train] Iter 01001 | Loss 70.60 | Grad 549.35 | LR 0.000500
[2025-04-11 10:42:26,725::train::INFO] [Validate] Iter 01001 | Loss 70.273503 
[2025-04-11 10:42:41,511::train::INFO] [Train] Iter 01201 | Loss 67.69 | Grad 564.65 | LR 0.000500
