[2025-04-11 11:48:05,181::train::INFO] Namespace(config='./configs/train_config_v2.yml', split_file='data/RDB7/splits/barrier_split.pkl', device='cuda', resume_iter=None, logdir='./logs/trained_rdb7/', pretrain='', project='tsdiff-rdb7', name='goflow-train-split-barrier_split', tag='goflow-train-split-barrier_split', fn=None)
[2025-04-11 11:48:05,181::train::INFO] {'model': {'type': 'diffusion', 'network': 'condensenc_rtsp', 'output_mode': 'ts', 't0': 0, 't1': 5000, 'edge_cutoff': 10.0, 'edge_order': 4, 'pred_edge_order': 3, 'encoder': {'name': 'schnet', 'edge_emb': False, 'num_convs': 7, 'cutoff': 10.0, 'smooth_conv': False, 'mlp_act': 'swish', 'hidden_dim': 256}, 'feat_dim': 27, 'hidden_dim': 256, 'edge_encoder': 'mlp', 'loss_energy_weight': 0.4, 'mlp_act': 'swish', 'edge_cat_act': 'swish', 'beta_schedule': 'sigmoid', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000}, 'train': {'seed': 1, 'batch_size': 128, 'val_freq': 200, 'log_freq': 200, 'max_iters': 40000, 'max_grad_norm': 3000.0, 'anneal_power': 2.0, 'optimizer': {'type': 'adam', 'lr': 0.0005, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.8, 'patience': 10, 'min_lr': 0.000125}}, 'dataset': {'data': 'data/RDB7/processed_data/data.pkl'}}
[2025-04-11 11:48:06,450::train::INFO] Loading datasets...
[2025-04-11 11:48:33,437::train::INFO] Building model...
[2025-04-11 11:48:33,548::train::INFO] Total number of learnable parameters: 2770819
[2025-04-11 11:48:34,539::train::INFO] [Train] Iter 00001 | Loss 637.31 | Grad 3.52 | LR 0.000500
[2025-04-11 11:48:35,145::train::INFO] [Validate] Iter 00001 | Loss 560.871710 
[2025-04-11 11:48:49,753::train::INFO] [Train] Iter 00201 | Loss 158.09 | Grad 704.75 | LR 0.000500
[2025-04-11 11:48:50,392::train::INFO] [Validate] Iter 00201 | Loss 100.765474 
[2025-04-11 11:49:05,323::train::INFO] [Train] Iter 00401 | Loss 102.16 | Grad 628.11 | LR 0.000500
[2025-04-11 11:49:05,942::train::INFO] [Validate] Iter 00401 | Loss 90.622853 
[2025-04-11 11:49:20,378::train::INFO] [Train] Iter 00601 | Loss 83.13 | Grad 511.14 | LR 0.000500
[2025-04-11 11:49:20,992::train::INFO] [Validate] Iter 00601 | Loss 81.237897 
[2025-04-11 11:49:35,767::train::INFO] [Train] Iter 00801 | Loss 76.20 | Grad 563.37 | LR 0.000500
[2025-04-11 11:49:36,379::train::INFO] [Validate] Iter 00801 | Loss 81.929534 
[2025-04-11 11:49:50,836::train::INFO] [Train] Iter 01001 | Loss 71.21 | Grad 508.66 | LR 0.000500
[2025-04-11 11:49:51,454::train::INFO] [Validate] Iter 01001 | Loss 70.384053 
[2025-04-11 11:50:06,194::train::INFO] [Train] Iter 01201 | Loss 69.01 | Grad 576.30 | LR 0.000500
[2025-04-11 11:50:06,807::train::INFO] [Validate] Iter 01201 | Loss 68.787158 
[2025-04-11 11:50:21,198::train::INFO] [Train] Iter 01401 | Loss 65.38 | Grad 523.90 | LR 0.000500
[2025-04-11 11:50:21,807::train::INFO] [Validate] Iter 01401 | Loss 68.662487 
[2025-04-11 11:50:36,533::train::INFO] [Train] Iter 01601 | Loss 63.37 | Grad 509.16 | LR 0.000500
[2025-04-11 11:50:37,139::train::INFO] [Validate] Iter 01601 | Loss 61.638635 
[2025-04-11 11:50:51,524::train::INFO] [Train] Iter 01801 | Loss 61.51 | Grad 525.12 | LR 0.000500
[2025-04-11 11:50:52,133::train::INFO] [Validate] Iter 01801 | Loss 67.705699 
[2025-04-11 11:51:06,848::train::INFO] [Train] Iter 02001 | Loss 61.65 | Grad 529.62 | LR 0.000500
[2025-04-11 11:51:07,457::train::INFO] [Validate] Iter 02001 | Loss 57.672903 
[2025-04-11 11:51:21,824::train::INFO] [Train] Iter 02201 | Loss 60.00 | Grad 514.35 | LR 0.000500
[2025-04-11 11:51:22,435::train::INFO] [Validate] Iter 02201 | Loss 55.871077 
[2025-04-11 11:51:37,186::train::INFO] [Train] Iter 02401 | Loss 58.66 | Grad 489.22 | LR 0.000500
[2025-04-11 11:51:37,798::train::INFO] [Validate] Iter 02401 | Loss 59.465544 
[2025-04-11 11:51:52,137::train::INFO] [Train] Iter 02601 | Loss 56.74 | Grad 438.39 | LR 0.000500
[2025-04-11 11:51:52,757::train::INFO] [Validate] Iter 02601 | Loss 58.346595 
[2025-04-11 11:52:07,417::train::INFO] [Train] Iter 02801 | Loss 56.55 | Grad 477.88 | LR 0.000500
[2025-04-11 11:52:08,031::train::INFO] [Validate] Iter 02801 | Loss 56.046654 
[2025-04-11 11:52:22,415::train::INFO] [Train] Iter 03001 | Loss 57.72 | Grad 515.15 | LR 0.000500
[2025-04-11 11:52:23,038::train::INFO] [Validate] Iter 03001 | Loss 58.098727 
[2025-04-11 11:52:37,729::train::INFO] [Train] Iter 03201 | Loss 57.75 | Grad 579.70 | LR 0.000500
[2025-04-11 11:52:38,348::train::INFO] [Validate] Iter 03201 | Loss 53.873594 
[2025-04-11 11:52:52,852::train::INFO] [Train] Iter 03401 | Loss 54.49 | Grad 467.24 | LR 0.000500
[2025-04-11 11:52:53,463::train::INFO] [Validate] Iter 03401 | Loss 54.062638 
[2025-04-11 11:53:08,239::train::INFO] [Train] Iter 03601 | Loss 54.26 | Grad 500.58 | LR 0.000500
[2025-04-11 11:53:08,855::train::INFO] [Validate] Iter 03601 | Loss 56.878359 
[2025-04-11 11:53:23,143::train::INFO] [Train] Iter 03801 | Loss 52.89 | Grad 434.06 | LR 0.000500
[2025-04-11 11:53:24,129::train::INFO] [Validate] Iter 03801 | Loss 50.150970 
[2025-04-11 11:53:38,491::train::INFO] [Train] Iter 04001 | Loss 51.92 | Grad 441.64 | LR 0.000500
[2025-04-11 11:53:39,111::train::INFO] [Validate] Iter 04001 | Loss 60.134002 
[2025-04-11 11:53:53,786::train::INFO] [Train] Iter 04201 | Loss 53.40 | Grad 510.98 | LR 0.000500
[2025-04-11 11:53:54,398::train::INFO] [Validate] Iter 04201 | Loss 54.510292 
[2025-04-11 11:54:08,678::train::INFO] [Train] Iter 04401 | Loss 53.37 | Grad 470.91 | LR 0.000500
[2025-04-11 11:54:09,299::train::INFO] [Validate] Iter 04401 | Loss 52.944238 
[2025-04-11 11:54:23,852::train::INFO] [Train] Iter 04601 | Loss 50.50 | Grad 441.70 | LR 0.000500
[2025-04-11 11:54:24,470::train::INFO] [Validate] Iter 04601 | Loss 54.961151 
[2025-04-11 11:54:38,659::train::INFO] [Train] Iter 04801 | Loss 52.32 | Grad 491.06 | LR 0.000500
[2025-04-11 11:54:39,268::train::INFO] [Validate] Iter 04801 | Loss 54.235896 
[2025-04-11 11:54:53,839::train::INFO] [Train] Iter 05001 | Loss 49.48 | Grad 401.78 | LR 0.000500
[2025-04-11 11:54:54,450::train::INFO] [Validate] Iter 05001 | Loss 48.008427 
[2025-04-11 11:55:08,720::train::INFO] [Train] Iter 05201 | Loss 49.17 | Grad 429.88 | LR 0.000500
[2025-04-11 11:55:09,340::train::INFO] [Validate] Iter 05201 | Loss 52.162004 
[2025-04-11 11:55:24,008::train::INFO] [Train] Iter 05401 | Loss 50.26 | Grad 471.16 | LR 0.000500
[2025-04-11 11:55:24,625::train::INFO] [Validate] Iter 05401 | Loss 48.138010 
[2025-04-11 11:55:38,808::train::INFO] [Train] Iter 05601 | Loss 50.30 | Grad 454.67 | LR 0.000500
[2025-04-11 11:55:39,422::train::INFO] [Validate] Iter 05601 | Loss 55.189845 
[2025-04-11 11:55:54,008::train::INFO] [Train] Iter 05801 | Loss 48.02 | Grad 409.65 | LR 0.000500
[2025-04-11 11:55:54,618::train::INFO] [Validate] Iter 05801 | Loss 51.642365 
[2025-04-11 11:56:08,816::train::INFO] [Train] Iter 06001 | Loss 50.09 | Grad 537.15 | LR 0.000500
[2025-04-11 11:56:09,426::train::INFO] [Validate] Iter 06001 | Loss 53.327801 
[2025-04-11 11:56:24,110::train::INFO] [Train] Iter 06201 | Loss 49.26 | Grad 442.51 | LR 0.000500
[2025-04-11 11:56:24,729::train::INFO] [Validate] Iter 06201 | Loss 49.007141 
[2025-04-11 11:56:38,900::train::INFO] [Train] Iter 06401 | Loss 47.94 | Grad 449.04 | LR 0.000500
[2025-04-11 11:56:39,514::train::INFO] [Validate] Iter 06401 | Loss 48.959282 
[2025-04-11 11:56:54,090::train::INFO] [Train] Iter 06601 | Loss 49.49 | Grad 519.02 | LR 0.000500
[2025-04-11 11:56:54,702::train::INFO] [Validate] Iter 06601 | Loss 51.617353 
[2025-04-11 11:57:08,886::train::INFO] [Train] Iter 06801 | Loss 46.39 | Grad 430.28 | LR 0.000500
[2025-04-11 11:57:09,495::train::INFO] [Validate] Iter 06801 | Loss 52.796276 
[2025-04-11 11:57:24,010::train::INFO] [Train] Iter 07001 | Loss 46.56 | Grad 414.27 | LR 0.000500
[2025-04-11 11:57:24,617::train::INFO] [Validate] Iter 07001 | Loss 47.477751 
[2025-04-11 11:57:38,839::train::INFO] [Train] Iter 07201 | Loss 46.24 | Grad 407.01 | LR 0.000500
[2025-04-11 11:57:39,449::train::INFO] [Validate] Iter 07201 | Loss 51.604932 
[2025-04-11 11:57:54,003::train::INFO] [Train] Iter 07401 | Loss 45.78 | Grad 427.11 | LR 0.000500
[2025-04-11 11:57:54,613::train::INFO] [Validate] Iter 07401 | Loss 51.451048 
[2025-04-11 11:58:08,784::train::INFO] [Train] Iter 07601 | Loss 45.79 | Grad 431.04 | LR 0.000500
[2025-04-11 11:58:09,392::train::INFO] [Validate] Iter 07601 | Loss 56.827853 
[2025-04-11 11:58:23,907::train::INFO] [Train] Iter 07801 | Loss 46.16 | Grad 417.07 | LR 0.000500
[2025-04-11 11:58:24,515::train::INFO] [Validate] Iter 07801 | Loss 55.789364 
[2025-04-11 11:58:38,694::train::INFO] [Train] Iter 08001 | Loss 45.89 | Grad 446.90 | LR 0.000500
[2025-04-11 11:58:39,302::train::INFO] [Validate] Iter 08001 | Loss 52.549193 
[2025-04-11 11:58:53,823::train::INFO] [Train] Iter 08201 | Loss 45.67 | Grad 451.38 | LR 0.000500
[2025-04-11 11:58:54,433::train::INFO] [Validate] Iter 08201 | Loss 51.488558 
[2025-04-11 11:59:08,608::train::INFO] [Train] Iter 08401 | Loss 46.15 | Grad 472.24 | LR 0.000500
[2025-04-11 11:59:09,574::train::INFO] [Validate] Iter 08401 | Loss 52.490106 
[2025-04-11 11:59:23,844::train::INFO] [Train] Iter 08601 | Loss 45.05 | Grad 449.20 | LR 0.000500
