[2025-04-11 12:39:03,661::train::INFO] Namespace(config='./configs/train_config_v2.yml', split_file='data/RDB7/splits/random_split.pkl', device='cuda', resume_iter=None, logdir='./logs/trained_rdb7/', pretrain='', project='tsdiff-rdb7', name='goflow-train-split-random_split', tag='goflow-train-split-random_split', fn=None)
[2025-04-11 12:39:03,661::train::INFO] {'model': {'type': 'diffusion', 'network': 'condensenc_rtsp', 'output_mode': 'ts', 't0': 0, 't1': 5000, 'edge_cutoff': 10.0, 'edge_order': 4, 'pred_edge_order': 3, 'encoder': {'name': 'schnet', 'edge_emb': False, 'num_convs': 7, 'cutoff': 10.0, 'smooth_conv': False, 'mlp_act': 'swish', 'hidden_dim': 256}, 'feat_dim': 27, 'hidden_dim': 256, 'edge_encoder': 'mlp', 'loss_energy_weight': 0.4, 'mlp_act': 'swish', 'edge_cat_act': 'swish', 'beta_schedule': 'sigmoid', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000}, 'train': {'seed': 1, 'batch_size': 128, 'val_freq': 200, 'log_freq': 200, 'max_iters': 40000, 'max_grad_norm': 3000.0, 'anneal_power': 2.0, 'optimizer': {'type': 'adam', 'lr': 0.0005, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.8, 'patience': 10, 'min_lr': 0.000125}}, 'dataset': {'data': 'data/RDB7/processed_data/data.pkl'}}
[2025-04-11 12:39:04,958::train::INFO] Loading datasets...
[2025-04-11 12:39:32,481::train::INFO] Building model...
[2025-04-11 12:39:32,654::train::INFO] Total number of learnable parameters: 2770819
[2025-04-11 12:39:33,697::train::INFO] [Train] Iter 00001 | Loss 603.23 | Grad 3.23 | LR 0.000500
[2025-04-11 12:39:34,323::train::INFO] [Validate] Iter 00001 | Loss 568.231344 
[2025-04-11 12:39:48,930::train::INFO] [Train] Iter 00201 | Loss 179.44 | Grad 1361.29 | LR 0.000500
[2025-04-11 12:39:49,571::train::INFO] [Validate] Iter 00201 | Loss 107.039410 
[2025-04-11 12:40:04,304::train::INFO] [Train] Iter 00401 | Loss 97.58 | Grad 613.99 | LR 0.000500
[2025-04-11 12:40:04,921::train::INFO] [Validate] Iter 00401 | Loss 86.473083 
[2025-04-11 12:40:19,308::train::INFO] [Train] Iter 00601 | Loss 83.42 | Grad 580.65 | LR 0.000500
[2025-04-11 12:40:19,937::train::INFO] [Validate] Iter 00601 | Loss 79.776028 
[2025-04-11 12:40:34,636::train::INFO] [Train] Iter 00801 | Loss 76.53 | Grad 554.26 | LR 0.000500
[2025-04-11 12:40:35,254::train::INFO] [Validate] Iter 00801 | Loss 74.857031 
[2025-04-11 12:40:49,638::train::INFO] [Train] Iter 01001 | Loss 70.56 | Grad 516.18 | LR 0.000500
[2025-04-11 12:40:50,262::train::INFO] [Validate] Iter 01001 | Loss 68.887456 
[2025-04-11 12:41:04,909::train::INFO] [Train] Iter 01201 | Loss 69.63 | Grad 560.38 | LR 0.000500
[2025-04-11 12:41:05,522::train::INFO] [Validate] Iter 01201 | Loss 63.782261 
[2025-04-11 12:41:19,793::train::INFO] [Train] Iter 01401 | Loss 65.13 | Grad 526.01 | LR 0.000500
[2025-04-11 12:41:20,409::train::INFO] [Validate] Iter 01401 | Loss 61.856165 
[2025-04-11 12:41:34,999::train::INFO] [Train] Iter 01601 | Loss 64.26 | Grad 549.09 | LR 0.000500
[2025-04-11 12:41:35,615::train::INFO] [Validate] Iter 01601 | Loss 64.386411 
[2025-04-11 12:41:49,824::train::INFO] [Train] Iter 01801 | Loss 62.66 | Grad 513.19 | LR 0.000500
[2025-04-11 12:41:50,440::train::INFO] [Validate] Iter 01801 | Loss 63.161750 
[2025-04-11 12:42:04,998::train::INFO] [Train] Iter 02001 | Loss 61.17 | Grad 496.93 | LR 0.000500
[2025-04-11 12:42:05,616::train::INFO] [Validate] Iter 02001 | Loss 62.387785 
[2025-04-11 12:42:19,798::train::INFO] [Train] Iter 02201 | Loss 61.40 | Grad 550.83 | LR 0.000500
[2025-04-11 12:42:20,419::train::INFO] [Validate] Iter 02201 | Loss 56.379049 
[2025-04-11 12:42:35,035::train::INFO] [Train] Iter 02401 | Loss 58.81 | Grad 492.06 | LR 0.000500
[2025-04-11 12:42:35,655::train::INFO] [Validate] Iter 02401 | Loss 53.610375 
[2025-04-11 12:42:50,301::train::INFO] [Train] Iter 02601 | Loss 58.28 | Grad 506.16 | LR 0.000500
[2025-04-11 12:42:50,919::train::INFO] [Validate] Iter 02601 | Loss 59.543435 
[2025-04-11 12:43:05,126::train::INFO] [Train] Iter 02801 | Loss 58.36 | Grad 470.35 | LR 0.000500
[2025-04-11 12:43:05,743::train::INFO] [Validate] Iter 02801 | Loss 54.119294 
[2025-04-11 12:43:20,313::train::INFO] [Train] Iter 03001 | Loss 56.57 | Grad 454.09 | LR 0.000500
[2025-04-11 12:43:20,931::train::INFO] [Validate] Iter 03001 | Loss 55.531685 
[2025-04-11 12:43:35,163::train::INFO] [Train] Iter 03201 | Loss 56.39 | Grad 492.66 | LR 0.000500
[2025-04-11 12:43:35,783::train::INFO] [Validate] Iter 03201 | Loss 59.268533 
[2025-04-11 12:43:50,354::train::INFO] [Train] Iter 03401 | Loss 55.55 | Grad 481.07 | LR 0.000500
[2025-04-11 12:43:50,972::train::INFO] [Validate] Iter 03401 | Loss 58.150593 
[2025-04-11 12:44:05,178::train::INFO] [Train] Iter 03601 | Loss 55.58 | Grad 504.58 | LR 0.000500
[2025-04-11 12:44:05,801::train::INFO] [Validate] Iter 03601 | Loss 55.455172 
[2025-04-11 12:44:20,376::train::INFO] [Train] Iter 03801 | Loss 52.89 | Grad 367.12 | LR 0.000500
[2025-04-11 12:44:20,995::train::INFO] [Validate] Iter 03801 | Loss 48.701332 
[2025-04-11 12:44:35,248::train::INFO] [Train] Iter 04001 | Loss 52.96 | Grad 507.82 | LR 0.000500
[2025-04-11 12:44:36,228::train::INFO] [Validate] Iter 04001 | Loss 57.210067 
[2025-04-11 12:44:50,432::train::INFO] [Train] Iter 04201 | Loss 53.88 | Grad 471.42 | LR 0.000500
[2025-04-11 12:44:51,050::train::INFO] [Validate] Iter 04201 | Loss 53.269706 
[2025-04-11 12:45:05,632::train::INFO] [Train] Iter 04401 | Loss 52.67 | Grad 464.61 | LR 0.000500
[2025-04-11 12:45:06,249::train::INFO] [Validate] Iter 04401 | Loss 51.160903 
[2025-04-11 12:45:20,450::train::INFO] [Train] Iter 04601 | Loss 50.84 | Grad 446.35 | LR 0.000500
[2025-04-11 12:45:21,069::train::INFO] [Validate] Iter 04601 | Loss 55.161432 
[2025-04-11 12:45:35,629::train::INFO] [Train] Iter 04801 | Loss 50.68 | Grad 414.67 | LR 0.000500
[2025-04-11 12:45:36,247::train::INFO] [Validate] Iter 04801 | Loss 48.517764 
[2025-04-11 12:45:50,526::train::INFO] [Train] Iter 05001 | Loss 51.26 | Grad 462.80 | LR 0.000500
[2025-04-11 12:45:51,146::train::INFO] [Validate] Iter 05001 | Loss 46.176119 
[2025-04-11 12:46:05,779::train::INFO] [Train] Iter 05201 | Loss 51.68 | Grad 515.07 | LR 0.000500
[2025-04-11 12:46:06,398::train::INFO] [Validate] Iter 05201 | Loss 53.450689 
[2025-04-11 12:46:20,618::train::INFO] [Train] Iter 05401 | Loss 51.12 | Grad 445.01 | LR 0.000500
[2025-04-11 12:46:21,238::train::INFO] [Validate] Iter 05401 | Loss 56.071957 
[2025-04-11 12:46:35,941::train::INFO] [Train] Iter 05601 | Loss 49.98 | Grad 385.82 | LR 0.000500
[2025-04-11 12:46:36,560::train::INFO] [Validate] Iter 05601 | Loss 49.687818 
[2025-04-11 12:46:50,883::train::INFO] [Train] Iter 05801 | Loss 49.23 | Grad 453.11 | LR 0.000500
[2025-04-11 12:46:51,504::train::INFO] [Validate] Iter 05801 | Loss 45.789142 
[2025-04-11 12:47:06,233::train::INFO] [Train] Iter 06001 | Loss 49.24 | Grad 426.62 | LR 0.000500
[2025-04-11 12:47:06,854::train::INFO] [Validate] Iter 06001 | Loss 49.770607 
[2025-04-11 12:47:21,228::train::INFO] [Train] Iter 06201 | Loss 51.05 | Grad 524.26 | LR 0.000500
[2025-04-11 12:47:21,849::train::INFO] [Validate] Iter 06201 | Loss 48.409646 
[2025-04-11 12:47:36,559::train::INFO] [Train] Iter 06401 | Loss 49.06 | Grad 466.83 | LR 0.000500
[2025-04-11 12:47:37,181::train::INFO] [Validate] Iter 06401 | Loss 51.144515 
[2025-04-11 12:47:51,533::train::INFO] [Train] Iter 06601 | Loss 48.59 | Grad 410.62 | LR 0.000500
[2025-04-11 12:47:52,155::train::INFO] [Validate] Iter 06601 | Loss 47.458759 
[2025-04-11 12:48:06,884::train::INFO] [Train] Iter 06801 | Loss 49.63 | Grad 446.41 | LR 0.000500
[2025-04-11 12:48:07,507::train::INFO] [Validate] Iter 06801 | Loss 44.753782 
[2025-04-11 12:48:22,316::train::INFO] [Train] Iter 07001 | Loss 46.81 | Grad 415.51 | LR 0.000500
[2025-04-11 12:48:22,941::train::INFO] [Validate] Iter 07001 | Loss 47.728887 
[2025-04-11 12:48:37,278::train::INFO] [Train] Iter 07201 | Loss 47.20 | Grad 377.53 | LR 0.000500
[2025-04-11 12:48:37,905::train::INFO] [Validate] Iter 07201 | Loss 54.794267 
[2025-04-11 12:48:52,649::train::INFO] [Train] Iter 07401 | Loss 47.96 | Grad 455.79 | LR 0.000500
[2025-04-11 12:48:53,271::train::INFO] [Validate] Iter 07401 | Loss 50.709842 
[2025-04-11 12:49:07,610::train::INFO] [Train] Iter 07601 | Loss 46.31 | Grad 403.82 | LR 0.000500
[2025-04-11 12:49:08,234::train::INFO] [Validate] Iter 07601 | Loss 50.049275 
[2025-04-11 12:49:22,960::train::INFO] [Train] Iter 07801 | Loss 46.61 | Grad 431.50 | LR 0.000500
[2025-04-11 12:49:23,583::train::INFO] [Validate] Iter 07801 | Loss 48.821900 
[2025-04-11 12:49:37,986::train::INFO] [Train] Iter 08001 | Loss 45.68 | Grad 420.39 | LR 0.000500
[2025-04-11 12:49:38,611::train::INFO] [Validate] Iter 08001 | Loss 51.879349 
[2025-04-11 12:49:53,331::train::INFO] [Train] Iter 08201 | Loss 48.83 | Grad 498.11 | LR 0.000500
[2025-04-11 12:49:53,952::train::INFO] [Validate] Iter 08201 | Loss 47.985854 
[2025-04-11 12:50:08,300::train::INFO] [Train] Iter 08401 | Loss 47.43 | Grad 476.04 | LR 0.000500
[2025-04-11 12:50:08,921::train::INFO] [Validate] Iter 08401 | Loss 54.574025 
[2025-04-11 12:50:23,653::train::INFO] [Train] Iter 08601 | Loss 47.60 | Grad 473.12 | LR 0.000500
[2025-04-11 12:50:24,275::train::INFO] [Validate] Iter 08601 | Loss 53.641914 
[2025-04-11 12:50:38,998::train::INFO] [Train] Iter 08801 | Loss 45.68 | Grad 425.18 | LR 0.000500
[2025-04-11 12:50:39,621::train::INFO] [Validate] Iter 08801 | Loss 44.540375 
[2025-04-11 12:50:54,073::train::INFO] [Train] Iter 09001 | Loss 45.83 | Grad 444.69 | LR 0.000500
[2025-04-11 12:50:54,698::train::INFO] [Validate] Iter 09001 | Loss 50.266641 
[2025-04-11 12:51:09,098::train::INFO] [Train] Iter 09201 | Loss 46.49 | Grad 414.52 | LR 0.000500
[2025-04-11 12:51:10,091::train::INFO] [Validate] Iter 09201 | Loss 45.282411 
[2025-04-11 12:51:24,415::train::INFO] [Train] Iter 09401 | Loss 44.40 | Grad 415.43 | LR 0.000500
[2025-04-11 12:51:25,035::train::INFO] [Validate] Iter 09401 | Loss 43.268497 
[2025-04-11 12:51:39,599::train::INFO] [Train] Iter 09601 | Loss 45.18 | Grad 404.23 | LR 0.000500
[2025-04-11 12:51:40,219::train::INFO] [Validate] Iter 09601 | Loss 46.652508 
[2025-04-11 12:51:54,369::train::INFO] [Train] Iter 09801 | Loss 44.96 | Grad 390.59 | LR 0.000500
[2025-04-11 12:51:54,988::train::INFO] [Validate] Iter 09801 | Loss 45.806097 
[2025-04-11 12:52:09,487::train::INFO] [Train] Iter 10001 | Loss 45.45 | Grad 460.09 | LR 0.000500
[2025-04-11 12:52:10,105::train::INFO] [Validate] Iter 10001 | Loss 47.472370 
